rough_geodist,Atlanta,Austin,Baltimore,Boston,Bronx,Brooklyn,Charlotte,Chicago,Cincinnati,Cleveland,Columbus,Dallas,Denver,Detroit,Houston,Indianapolis,Jacksonville,Kansas City,Las Vegas,Los Angeles,Louisville,Memphis,Miami,Milwaukee,Minneapolis,Nashville,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Queens,Raleigh,Richmond,Riverside,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,Seattle,St. Louis,Tampa,Virginia Beach,Washington
0,0,0,0,0,5,0,0,3.3,0,0,0,0,0,5,0,0,5,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,10,0
1,50.7,22,21.7,38.6,38.8,23.8,22.5,30.6,35.7,28.7,17,23.8,11.2,49.5,36.2,22.9,39.4,40,15,42.1,31.1,32.1,40.4,36.8,27.9,32.5,48.6,27.9,21,35.6,34.8,22.5,18.4,15,35,28.7,18.3,27.5,17.5,25,22.5,35.6,10,22.5,25,22.5,28.9,40.5,38.8,32.2
2,52.7,23.7,32.5,40.5,52.9,47.1,26.9,45.2,33,30.7,17.5,42,27.8,43.6,39.8,22.7,42.3,34.2,17.5,53,29.7,31.2,50.3,35,27.3,32.2,48.2,43.6,24,38.8,40.3,21,18.9,35,47.5,51.7,25,35.3,22.5,24.4,28.5,40.7,16.5,36.2,30,20,30.3,47.7,47.8,34.5
3,44.7,42.5,55,52,68,64,43.3,10.3,43.8,43.6,33.3,33.4,57,63.6,32,23.1,50,53.8,31.4,63.6,30.2,31.5,51.7,36.2,26.7,32.6,48.1,53.1,39.4,50.6,51.6,38.1,24.2,26.2,63.7,69,38.4,50.7,34,35.4,44.1,56.2,33.5,51.5,42,24.6,30.9,63.7,66.6,43.7
4,54.4,25,30.8,55.9,62.5,53.9,30.3,43.2,36,31,20.5,44.3,36.1,51.8,40.8,23.5,43.5,37,34.1,58.8,30.8,31.8,51.7,37.5,26.6,33,48,50.9,25.3,40,47.1,39.2,19.8,55,57.5,58,27.9,37.3,39.6,35.3,43.6,42,40.2,50.8,40.3,45,31.5,49,53.4,37.7
5,46.7,10.4,59.6,53,79.7,77.8,30.2,11,36.3,50.7,20.4,22.7,63.3,68.5,37.7,23.2,38.4,37.7,49.2,72.6,31.3,32.9,51.3,38.1,26.5,31.2,47.8,60.9,24.8,35,54.5,57.8,26.2,38.8,71,83.4,35,53.8,60,44.2,52.2,33.3,59.4,63.9,50.8,36.2,32.2,45.2,68.8,38.2
6,52.3,35.9,43.6,48.1,60.5,52.7,30,44.6,36.7,36.3,20.3,37.9,37.1,56,37.4,23,47.8,38.3,36,62.2,31.8,34,46.1,38.7,27.2,29.5,47.9,48.6,24.2,48.1,49.3,39.4,20.3,59.2,46.1,59.1,30,40.8,43.5,38.6,36.4,51.2,38.1,56.6,43.6,57.8,32.8,72.5,58.2,43.8
7,58.1,25.2,75,55.2,81.9,78.1,18.1,12.3,38.7,39.9,21.5,63.2,61.3,58.2,54.2,23.2,44,38.8,50.8,69.6,34.4,38.5,69.5,40.7,27.8,31.2,48,60.2,22.2,40.7,53.8,46.1,22,42.3,73.4,88.1,31.9,43.8,55.3,44.6,52.2,46,47.5,66.2,50.4,44.8,36.2,52.3,61.7,37.9
8,63.1,27.1,51.2,74.4,73.8,65.8,35.9,63.3,40.8,43.5,22.7,65.6,47.3,60.3,58.2,23.5,44.8,39.2,42.5,71.7,37,39.5,70.3,42.7,31.2,33,48.2,68.5,28.2,41.1,59.7,54,23.7,60,65.1,75.6,33.8,46.7,54.4,45,44.8,48.3,47.5,64.2,47.1,49.6,39.5,55.7,65.2,51.4
9,68.2,29,53.1,82.9,85,80,34.2,64.3,41.3,45.8,23.5,68,49.8,62,62.2,23.4,45.7,40.1,50.7,75.3,39.2,40.5,77.9,43.2,34.7,35.3,48.5,85.5,30.3,41.5,60.8,51.4,24.3,50,75,85,35.8,51.6,59.4,45.8,54.4,50.7,48.9,67.1,51.5,47.4,42.6,59,66.1,47
10,69,29.3,55,78.9,77.5,72.2,36.4,65.3,41.8,48.2,24.3,70.2,52.3,63.7,63.8,23.3,46.1,41,49.2,79.4,41.3,41.6,74.2,43.8,36.7,36.2,49,76.2,30.5,42.2,62,66.9,25,58.6,69.2,85.2,37.5,49.6,67.6,47.7,46.7,52.7,57.9,66.6,48,51.1,45.7,63.3,68.1,65.5
11,69.8,36.4,56.3,84.4,79.7,74.1,38.7,66.8,41.7,50,25.2,72.5,52.9,65,66.1,23.3,51.2,41,51.9,79.5,43,42.7,75.2,45.1,38.7,37.2,49,77.4,30.7,42.9,63.3,59.5,25.1,49.1,76.2,85.8,37.8,50,63.6,50.4,52.5,53.2,53.3,70.6,50,51.1,45.5,65,70.5,50.9
12,70.7,30.7,57.7,80.8,81.8,76,41,68.2,41.5,51.8,26,75.5,53.5,66.3,68.3,23.3,49.3,41,50.8,85.6,44.6,44,76.2,46.3,40.5,39.8,49,78.7,30.8,43.7,64.5,63.8,25.2,56.2,71.3,86.5,39.5,50,73.8,46.8,48.7,53.8,59.1,67.5,53.9,54.8,47.8,66.7,71.2,66.6
13,71.5,,60,83.8,84.2,77.5,43.3,69,43,53.6,27.2,,56.4,66.5,,11.8,,42.5,52.3,82.3,46.2,45.3,,46.7,42.3,42.3,,79.8,30.8,,67,65.5,25.9,53.6,72.7,89.1,41.2,50.5,70.7,49.2,49.6,,56.7,71.6,49.7,50.4,50,,71.8,65.4
14,,,62.5,81.5,86.5,79,,69.8,,55.3,28.5,,58.1,66.7,,32.3,,,51.2,,,,,47,44,,,80.8,,,69.5,,26.7,54.4,74,91.7,,,,50.6,50.5,,,71.2,54.2,52.8,,,,58.3
15,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,,,,,,,,52.9,,,,,,,,,,,,53,,,,52.5
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,,,,,,,,,53.9,,,,52.8
